Jul 16 18:36:56 gcp-cluster-control-plane systemd[1]: kubelet.service: Scheduled restart job, restart counter is at 44.
Jul 16 18:36:56 gcp-cluster-control-plane systemd[1]: Starting kubelet.service - kubelet: The Kubernetes Node Agent...
Jul 16 18:36:56 gcp-cluster-control-plane systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.404032    1439 server.go:545] "Kubelet version" kubeletVersion="v1.36.1"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.404135    1439 server.go:547] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.404165    1439 watchdog_linux.go:94] "Systemd watchdog is not enabled"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.404174    1439 watchdog_linux.go:137] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.404870    1439 server.go:985] "Client rotation is on, will bootstrap in background"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.407267    1439 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.410548    1439 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.415231    1439 server.go:1448] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="systemd"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.421963    1439 server.go:869] "NoSwap is set due to memorySwapBehavior not specified" memorySwapBehavior="" FailSwapOn=false
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.422305    1439 container_manager_linux.go:273] "Container manager verified user specified cgroup-root exists" cgroupRoot=["kubelet"]
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.422348    1439 container_manager_linux.go:278] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"gcp-cluster-control-plane","RuntimeCgroupsName":"/system.slice/containerd.service","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/kubelet","CgroupDriver":"systemd","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"MemoryReservationPolicy":"None","PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.422596    1439 topology_manager.go:172] "Creating topology manager with none policy"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.422610    1439 container_manager_linux.go:309] "Creating device plugin manager"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.422653    1439 container_manager_linux.go:318] "Creating Dynamic Resource Allocation (DRA) manager"
