==== START logs for container kube-scheduler of pod kube-system/kube-scheduler-autoscaling-control-plane ====
I0716 16:03:24.939675       1 serving.go:411] Generated self-signed cert in-memory
W0716 16:03:27.567735       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
W0716 16:03:27.567786       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
W0716 16:03:27.567801       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
W0716 16:03:27.567811       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
E0716 16:03:27.581081       1 options.go:205] The manifest file is empty, ignoring.
I0716 16:03:27.643300       1 server.go:178] "Starting Kubernetes Scheduler" version="v1.36.1"
I0716 16:03:27.643348       1 server.go:180] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I0716 16:03:27.648556       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0716 16:03:27.648761       1 shared_informer.go:402] "Waiting for caches to sync"
I0716 16:03:27.648820       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0716 16:03:27.648800       1 secure_serving.go:214] Serving securely on 127.0.0.1:10259
E0716 16:03:27.668911       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ConfigMap: configmaps \"extension-apiserver-authentication\" is forbidden: User \"system:kube-scheduler\" cannot list resource \"configmaps\" in API group \"\" in the namespace \"kube-system\"" logger="UnhandledError" reflector="runtime/asm_amd64.s:1771" type="*v1.ConfigMap"
E0716 16:03:27.673870       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:177" type="*v1.PersistentVolume"
E0716 16:03:27.676390       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csidrivers\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:177" type="*v1.CSIDriver"
E0716 16:03:27.677014       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumeclaims\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:177" type="*v1.PersistentVolumeClaim"
E0716 16:03:27.677082       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ResourceClaim: resourceclaims.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"resourceclaims\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:177" type="*v1.ResourceClaim"
E0716 16:03:27.677230       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Service: services is forbidden: User \"system:kube-scheduler\" cannot list resource \"services\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:177" type="*v1.Service"
